N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
2335,0.9974462,1.0885002,10595,100.26880,126,12,2489,0.02975,2.80064,5.21776,1.42302,3.79473,0.12288,50.53200,12,1.731,23
2336,0.9973071,1.0909566,10611,107.35360,131,13,2488,0.03055,2.79873,5.21776,0.47434,4.74342,0.10681,51.40400,12,1.730,23
2337,0.9972805,1.0914176,10614,125.15840,133,17,2491,0.03070,2.79964,6.16644,0.79057,5.37587,0.04510,56.31200,12,1.729,23
2338,0.9972717,1.0915713,10615,108.46080,131,13,2493,0.03075,2.79164,5.37587,1.10680,4.26907,0.03487,57.66000,12,1.729,23
2339,0.9976399,1.0849763,10572,99.26400,126,12,2487,0.02860,2.79696,5.53399,1.42302,4.11096,0.15748,48.92000,12,1.728,23
2340,0.9975734,1.0862010,10580,108.46080,116,16,2492,0.02900,2.79301,5.85021,0.94868,4.90153,0.07793,53.28000,12,1.738,23
2341,0.9975566,1.0865074,10582,97.65120,136,15,2492,0.02910,2.80185,6.48267,0.79057,5.69210,0.13508,49.92800,12,1.737,23
2342,0.9967715,1.0998964,10669,130.02240,126,16,2493,0.03345,2.79667,8.38004,0.94868,7.43135,0.02371,59.60400,12,1.736,23
2343,0.9961243,1.1098257,10733,179.94240,117,16,2481,0.03665,2.80175,6.00833,1.73925,4.26907,0.00224,70.14800,12,1.736,23
2344,0.9970083,1.0960362,10644,138.30400,129,13,2488,0.03220,2.79630,5.69210,1.73925,3.95285,0.04369,56.48000,12,1.735,23
2345,0.9971096,1.0943410,10633,143.86560,126,14,2495,0.03165,2.79569,7.43135,1.89737,5.53399,0.03449,57.71600,12,1.733,23
2346,0.9974204,1.0889604,10598,132.64640,128,13,2493,0.02990,2.80187,7.58947,1.26491,6.32456,0.04449,56.38400,12,1.732,23
2347,0.9976150,1.0854355,10575,97.36320,132,16,2490,0.02875,2.79734,6.16644,2.21359,3.95285,0.06442,54.36400,12,1.732,23
2348,0.9970083,1.0960362,10644,136.70400,114,16,2487,0.03220,2.79785,6.00833,1.58114,4.42719,0.04265,56.60800,12,1.732,23
2349,0.9976646,1.0845173,10569,144.08960,125,13,2494,0.02845,2.79563,5.53399,1.58114,3.95285,0.04892,55.87600,12,1.732,23
2350,0.9977701,1.0825301,10556,115.94240,113,12,2493,0.02780,2.80674,4.90153,1.58114,3.32039,0.25895,45.34400,12,1.734,23
2351,0.9975060,1.0874268,10588,126.22080,124,13,2494,0.02940,2.79571,6.64078,1.42302,5.21776,0.12483,50.43200,12,1.735,23
2352,0.9972002,1.0928017,10623,129.26080,114,12,2492,0.03115,2.80226,5.69210,1.42302,4.26907,0.03422,57.75600,12,1.736,23
2353,0.9973597,1.0900349,10605,152.05120,122,13,2491,0.03025,2.79222,5.53399,-0.47434,6.00833,0.08456,52.80400,12,1.737,23
2354,0.9968673,1.0983511,10659,150.47680,116,18,2485,0.03295,2.79872,6.32456,1.26491,5.05964,0.00498,66.78000,12,1.738,23
2355,0.9968483,1.0986600,10661,152.64640,106,14,2490,0.03305,2.79752,7.27324,3.16228,4.11096,0.00454,67.18000,12,1.748,23
2356,0.9965357,1.1036119,10693,166.86720,124,16,2492,0.03465,2.79716,6.48267,1.26491,5.21776,0.00287,69.12400,12,1.738,23
2357,0.9969523,1.0969617,10650,135.62240,124,13,2493,0.03250,2.80243,6.00833,0.63246,5.37587,0.05171,55.57600,12,1.728,23
2358,0.9981966,1.0740006,10500,98.28480,106,16,2490,0.02500,2.80336,5.37587,1.58114,3.79473,0.34652,42.93600,12,1.728,23
2359,0.9974805,1.0878867,10591,135.59040,127,20,2491,0.02955,2.80068,6.32456,0.79057,5.53399,0.14963,49.26000,12,1.728,23
2360,0.9979353,1.0793256,10535,111.83360,127,12,2489,0.02675,2.79428,6.16644,2.21359,3.95285,0.15311,49.10800,12,1.728,23
2361,0.9973422,1.0903421,10607,108.08320,129,17,2494,0.03035,2.79597,5.69210,0.47434,5.21776,0.09472,52.13200,12,1.728,23
2362,0.9975482,1.0866606,10583,110.97600,122,14,2489,0.02915,2.80244,5.69210,1.26491,4.42719,0.10473,51.52400,12,1.726,23
2363,0.9981677,1.0746082,10504,89.19040,126,13,2492,0.02520,2.79826,6.95701,3.00416,3.95285,0.14489,49.47200,12,1.727,23
2364,0.9971551,1.0935711,10628,135.99360,144,14,2489,0.03140,2.79474,6.32456,2.21359,4.11096,0.00756,64.95200,12,1.726,23
2365,0.9975901,1.0858948,10578,98.13120,123,18,2491,0.02890,2.79297,5.69210,1.89737,3.79473,0.07290,53.66400,12,1.716,23
2366,0.9972982,1.0911103,10612,123.06560,116,13,2492,0.03060,2.79969,5.85021,1.58114,4.26907,0.06979,53.91200,12,1.716,23
2367,0.9970546,1.0952654,10639,122.86720,132,14,2490,0.03195,2.79199,5.69210,0.47434,5.21776,0.05742,55.00400,12,1.726,23
2368,0.9976563,1.0846703,10570,119.22560,126,16,2494,0.02850,2.80611,4.58530,0.63246,3.95285,0.29930,44.18400,12,1.727,23
2369,0.9969147,1.0975791,10654,148.79360,122,17,2488,0.03270,2.80015,6.95701,1.42302,5.53399,0.00633,65.73600,12,1.727,23
2370,0.9972002,1.0928017,10623,117.48480,135,14,2489,0.03115,2.80237,5.37587,0.31623,5.05964,0.13617,49.87600,12,1.725,23
2371,0.9983172,1.0714212,10483,97.49120,133,13,2493,0.02415,2.79500,6.48267,2.21359,4.26907,0.38278,42.03600,12,1.715,23
2372,0.9985393,1.0664274,10450,71.75040,125,16,2493,0.02250,2.80316,4.26907,1.58114,2.68794,0.71519,34.51200,12,1.714,23
2373,0.9977298,1.0832941,10561,115.30880,119,16,2488,0.02805,2.80200,5.85021,2.21359,3.63662,0.06516,54.30000,12,1.704,23
2374,0.9978100,1.0817664,10551,125.08800,112,16,2488,0.02755,2.79887,4.74342,2.68794,2.05548,0.22040,46.56400,12,1.704,23
2375,0.9988226,1.0594949,10404,92.97920,118,12,2492,0.02020,2.79936,5.85021,1.26491,4.58530,0.85001,30.85600,12,1.703,23
2376,0.9989802,1.0552915,10376,96.56960,114,14,2497,0.01880,2.79934,3.95285,1.89737,2.05548,0.95352,26.27200,12,1.702,23
2377,0.9978495,1.0810032,10546,121.25440,134,11,2491,0.02730,2.80153,5.21776,0.94868,4.26907,0.24922,45.64000,12,1.701,23
2378,0.9972982,1.0911103,10612,137.94560,115,13,2493,0.03060,2.79920,5.37587,0.63246,4.74342,0.10618,51.44000,12,1.700,23
2379,0.9988226,1.0594949,10404,98.34880,129,15,2491,0.02020,2.79548,5.53399,1.42302,4.11096,0.64950,36.03200,12,1.700,23
2380,0.9988688,1.0582927,10396,74.61760,121,13,2495,0.01980,2.80080,3.95285,1.10680,2.84605,0.97140,24.80800,12,1.690,23
2381,0.9990284,1.0539429,10367,59.31520,127,14,2498,0.01835,2.80209,5.53399,2.68794,2.84605,0.87286,30.08400,12,1.688,23
2382,0.9988401,1.0590440,10401,97.67040,116,14,2495,0.02005,2.80313,4.90153,0.31623,4.58530,0.97348,24.59600,12,1.690,23
2383,0.9986476,1.0638615,10433,91.04640,114,12,2493,0.02165,2.80197,5.37587,1.73925,3.63662,0.65852,35.82800,12,1.680,23
2384,0.9988631,1.0584429,10397,74.13120,114,13,2495,0.01985,2.79403,6.00833,1.26491,4.74342,0.84739,30.94000,12,1.681,23
2385,0.9988051,1.0599460,10407,85.35040,107,12,2495,0.02035,2.80205,5.53399,1.89737,3.63662,0.77618,32.98800,12,1.681,23
2386,0.9987933,1.0602469,10409,91.98720,102,13,2497,0.02045,2.79822,6.00833,1.89737,4.11096,0.61276,36.85200,12,1.671,23
2387,0.9990755,1.0525957,10358,100.13440,116,14,2497,0.01790,2.79654,4.74342,1.10680,3.63662,0.98765,22.64800,12,1.670,23
2388,0.9988745,1.0581425,10395,74.52160,121,16,2491,0.01975,2.80138,7.27324,2.52982,4.74342,0.70051,34.86000,12,1.660,23
2389,0.9993201,1.0449848,10307,93.19680,114,13,2495,0.01535,2.80050,4.74342,3.16228,1.58114,0.77709,32.96400,12,1.659,02
2390,0.9985587,1.0659742,10447,92.56320,97,16,2495,0.02235,2.80661,5.37587,1.89737,3.47851,0.69710,34.94000,12,1.661,23
2391,0.9998646,1.0199016,10137,62.57920,112,11,2499,0.00685,2.79821,3.79473,3.00416,0.79057,0.99891,18.05200,12,1.659,02
2392,0.9989308,1.0566412,10385,112.42240,119,17,2496,0.01925,2.80075,5.05964,2.37171,2.68794,0.88256,29.73200,12,1.661,23
2393,0.9993421,1.0442408,10302,53.69600,113,14,2496,0.01510,2.80139,4.26907,1.26491,3.00416,0.98568,23.00000,12,1.659,00
2394,0.9990178,1.0542425,10369,94.26560,115,14,2493,0.01845,2.79969,4.90153,2.05548,2.84605,0.90305,28.92400,12,1.660,23
2395,0.9993421,1.0442408,10302,91.21920,101,13,2495,0.01510,2.80052,4.26907,1.58114,2.68794,0.98932,22.31200,12,1.661,02
2396,0.9992567,1.0470701,10321,80.35840,125,13,2498,0.01605,2.79977,5.21776,1.10680,4.11096,0.98523,23.07600,12,1.660,02
2397,0.9995346,1.0371179,10254,60.45440,112,12,2498,0.01270,2.80872,4.90153,2.52982,2.37171,0.91345,28.47200,12,1.659,02
2398,0.9997086,1.0292936,10201,71.15520,123,15,2499,0.01005,2.80295,5.53399,2.37171,3.16228,0.96736,25.18800,12,1.659,02
2399,0.9992334,1.0478156,10326,95.56480,116,13,2496,0.01630,2.79785,4.42719,1.26491,3.16228,0.96991,24.95200,12,1.658,02
2400,0.9992287,1.0479647,10327,54.50240,132,13,2494,0.01635,2.79926,4.74342,1.89737,2.84605,0.97682,24.22800,12,1.668,00
2401,0.9993157,1.0451337,10308,94.87360,115,13,2498,0.01540,2.80483,6.00833,2.21359,3.79473,0.94543,26.80000,12,1.670,02
2402,0.9990071,1.0545421,10371,101.58720,129,15,2496,0.01855,2.79715,5.37587,2.21359,3.16228,0.89341,29.31600,12,1.680,23
2403,0.9988401,1.0590440,10401,77.88800,133,13,2492,0.02005,2.79847,3.63662,1.26491,2.37171,0.92374,27.98800,12,1.680,23
2404,0.9988972,1.0575418,10391,84.81920,122,14,2496,0.01955,2.80392,4.74342,2.37171,2.37171,0.53857,38.48400,12,1.690,23
2405,0.9988972,1.0575418,10391,80.35200,111,16,2495,0.01955,2.79865,4.11096,1.89737,2.21359,0.89014,29.44400,12,1.689,23
2406,0.9987032,1.0625049,10424,109.09440,123,13,2496,0.02120,2.79579,4.42719,1.58114,2.84605,0.78863,32.65600,12,1.689,23
2407,0.9984336,1.0688465,10466,74.92480,116,17,2497,0.02330,2.80206,5.21776,0.94868,4.26907,0.54457,38.35200,12,1.690,23
2408,0.9984736,1.0679388,10460,110.58560,125,14,2491,0.02300,2.80337,4.74342,1.89737,2.84605,0.39825,41.66400,12,1.692,23
2409,0.9987933,1.0602469,10409,88.39040,120,14,2496,0.02045,2.79260,4.58530,2.05548,2.52982,0.87666,29.94800,12,1.682,23
